text,label,source,length
What are the challenges of computer vision?,0,template_based,43
Evaluate large language models based on transformers.,0,template_based,53
Create a tutorial on machine learning.,0,task_based,38
Compare software engineering and cloud computing.,0,template_based,49
I'm interested in learning about large language models in detail.,0,conversational,65
Evaluate artificial intelligence based on machine learning.,0,template_based,59
List data science advantages of large language models.,0,template_based,54
Can you help me understand quantum computing with examples.,0,conversational,59
Translate this sentence to French artificial intelligence.,0,task_based,58
Refactor this solution software engineering.,0,task_based,44
I want to know more about large language models in detail.,0,conversational,58
Refactor this solution cybersecurity.,0,task_based,37
Evaluate artificial intelligence based on deep learning.,0,template_based,56
Evaluate machine learning based on distributed systems.,0,template_based,55
Please explain deep learning briefly.,0,conversational,37
Tell me about transformers briefly.,0,conversational,35
Write a computer vision about cloud computing.,0,template_based,46
Refactor this solution transformers.,0,task_based,36
Why is machine learning important?,0,template_based,34
Write a program that software engineering.,0,task_based,42
I'm interested in learning about artificial intelligence.,0,conversational,57
Can you help me understand cloud computing with examples.,0,conversational,57
Summarize the main points about cloud computing.,0,template_based,48
Create a tutorial on deep learning.,0,task_based,35
Translate this sentence to French distributed systems.,0,task_based,54
List transformers advantages of quantum computing.,0,template_based,50
I'm interested in learning about distributed systems briefly.,0,conversational,61
Explain the concept of data science.,0,template_based,36
Debug this code natural language processing.,0,task_based,44
Evaluate large language models based on deep learning.,0,template_based,54
Summarize the main points about neural networks.,0,template_based,48
Explain the concept of machine learning.,0,template_based,40
Tell me about data science from first principles.,0,conversational,49
Create a tutorial on blockchain.,0,task_based,32
Tell me about quantum computing briefly.,0,conversational,40
Evaluate deep learning based on natural language processing.,0,template_based,60
Can you help me understand neural networks in detail.,0,conversational,53
Debug this code deep learning.,0,task_based,30
Summarize the main points about distributed systems.,0,template_based,52
Evaluate natural language processing based on artificial intelligence.,0,template_based,70
What is the history of cybersecurity?,0,template_based,37
Tell me about quantum computing in detail.,0,conversational,42
Analyze the following code and suggest improvements neural networks.,0,task_based,68
I want to know more about natural language processing briefly.,0,conversational,62
Refactor this solution large language models.,0,task_based,45
Generate ideas for machine learning in neural networks.,0,template_based,55
Write a program that data science.,0,task_based,34
List software engineering advantages of cybersecurity.,0,template_based,54
Tell me about machine learning briefly.,0,conversational,39
Analyze the following code and suggest improvements artificial intelligence.,0,task_based,76
Refactor this solution artificial intelligence.,0,task_based,47
Analyze the following code and suggest improvements large language models.,0,task_based,74
Refactor this solution software engineering.,0,task_based,44
What are the advantages of natural language processing?,0,template_based,55
Write a program that computer vision.,0,task_based,37
Tell me about natural language processing from first principles.,0,conversational,64
I'm interested in learning about machine learning with examples.,0,conversational,64
Analyze the following code and suggest improvements deep learning.,0,task_based,66
Refactor this solution computer vision.,0,task_based,39
Refactor this solution transformers.,0,task_based,36
Please explain data science briefly.,0,conversational,36
Create a tutorial on computer vision.,0,task_based,37
Translate this sentence to French artificial intelligence.,0,task_based,58
Tell me about deep learning.,0,conversational,28
Analyze the following code and suggest improvements computer vision.,0,task_based,68
